emoji,emoji_name,emoji_count,emoji_senti,txt_senti,conflict,txt,full_txt
😂, Face With Tears Of Joy ,1179,positive,positive,False,总的来说，这个英雄简直是 LOL 历史上最强的废柴！ ,总的来说，这个英雄简直是 LOL 历史上最强的废柴！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，选择困难症,哎呀，选择困难症😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，我的朋友，你问的问题太有深度了！,哎呀，我的朋友，你问的问题太有深度了！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,你知道为什么没人在岩浆里憋气吗？因为岩浆里根本就没有氧气！ ,你知道为什么没人在岩浆里憋气吗？因为岩浆里根本就没有氧气！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,最后，她可以被防御塔和地方英雄击杀。这意味着，她在游戏中基本上没有任何生存能力！ ,最后，她可以被防御塔和地方英雄击杀。这意味着，她在游戏中基本上没有任何生存能力！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,你知道吗，铁路系统不自己建电厂的原因有很多，不能简单地归结为“铁路太懒”或者“铁路不想投资” ,你知道吗，铁路系统不自己建电厂的原因有很多，不能简单地归结为“铁路太懒”或者“铁路不想投资” 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,A．每个选民都投举了每个候选人的赞成票？不可能！如果每个选民都投了所有候选人的赞成票，那么统计结果就不会显示有人投了所有候选人的赞成票，而是所有人都投了所有候选人的赞成票！,A．每个选民都投举了每个候选人的赞成票？不可能！如果每个选民都投了所有候选人的赞成票，那么统计结果就不会显示有人投了所有候选人的赞成票，而是所有人都投了所有候选人的赞成票！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，老铁，你问的这个问题真的太经典了！ ,哎呀，老铁，你问的这个问题真的太经典了！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，老鼠你太贪吃了吧！,哎呀，老鼠你太贪吃了吧！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,奥斯特（Hans Christian Ørsted）确实是第一个发现电流磁效应的人，但他并不是使用闪电来实验的。 ,奥斯特（Hans Christian Ørsted）确实是第一个发现电流磁效应的人，但他并不是使用闪电来实验的。 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，这种情况简直是「哭笑不得」！,哎呀，这种情况简直是「哭笑不得」！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,！我感觉自己像是一个被绑架的律师，整天被法律条文绑架，无法逃脱 ,！我感觉自己像是一个被绑架的律师，整天被法律条文绑架，无法逃脱 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,而且，明初的军队主要是依靠农民兵，军费开销不高。 农民兵不需要高昂的军饷，吃的也是自己家里的粮食，穿的也是自己家里的衣服。 ,而且，明初的军队主要是依靠农民兵，军费开销不高。 农民兵不需要高昂的军饷，吃的也是自己家里的粮食，穿的也是自己家里的衣服。 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哇噢！书架上传来一股腐烂的味道？那是不是书架里的书都变成「腐书」了？,哇噢！书架上传来一股腐烂的味道？那是不是书架里的书都变成「腐书」了？😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，梅兰妮这个傻妞！,哎呀，梅兰妮这个傻妞！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，这个论断真的很容易被戳破嘛！ ,哎呀，这个论断真的很容易被戳破嘛！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，老李的乐理书都快要被我们遗忘了！,哎呀，老李的乐理书都快要被我们遗忘了！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,另一种理论则认为，这是因为我们的祖先在使用工具和武器时，右手更容易持握和操作。想象一下，你的祖先在打猎或战斗时，如果左手持枪右手持盾牌，岂不是很尴尬？ ,另一种理论则认为，这是因为我们的祖先在使用工具和武器时，右手更容易持握和操作。想象一下，你的祖先在打猎或战斗时，如果左手持枪右手持盾牌，岂不是很尴尬？ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哇哇！你太乐观了吧！,哇哇哇！你太乐观了吧！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,！从那以后，我就像一个走火的律师，总是担心下一个错误就在眼前 ,！从那以后，我就像一个走火的律师，总是担心下一个错误就在眼前 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哈哈，终于有人问出这个宇宙级的问题了！,哇哈哈，终于有人问出这个宇宙级的问题了！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哇哇哇！你想把唯心主义和唯物主义融为一炉？那就像要把油和水混在一起一样 difficile！ ,哇哇哇！你想把唯心主义和唯物主义融为一炉？那就像要把油和水混在一起一样 difficile！ 😂
